Pedido,Cliente,Referencia,Cor,Tamanho,Endereco,codigo_barras
P-10001,Loja Matriz,Ref 10002,Azul,M,A-01-01,7891000100021
P-10001,Loja Matriz,Ref 10003,Verde,G,A-01-02,7891000100038
P-10002,Filial Sul,Ref 20005,Branco,P,B-02-04,7892000200055
P-10002,Filial Sul,Ref 20005,Branco,M,B-02-04,7892000200056
P-10002,Filial Sul,Ref 20006,Preto,U,B-03-01,7892000200063
P-10003,Franquia SP,Ref 30001,Amarelo,4,C-01-01,7893000300011
P-10003,Franquia SP,Ref 30001,Amarelo,6,C-01-01,7893000300012
P-10003,Franquia SP,Ref 30001,Amarelo,8,C-01-01,7893000300013
P-10004,Exportação PT,Ref 40001,Rosa,M,D-10-10,7894000400018
P-10005,Loja Virtual,Ref 50001,Cinza,G,E-05-02,7895000500019
